Date,Open,High,Low,Close,Adj Close,Volume
2000-05-08,1051.460205,1051.460205,1022.252930,1022.252930,800.180542,2680
2000-05-09,1022.252930,1022.252930,1022.252930,1022.252930,800.180542,0
2000-05-10,1022.252930,1022.252930,1012.517212,1012.517212,792.559753,54891
2000-05-11,1012.517212,1031.988647,993.045715,993.045715,777.318176,35539
2000-05-12,1036.856567,1066.063843,1012.517212,1012.517212,792.559753,11195
2000-05-15,1066.063843,1100.138916,1061.195923,1061.195923,830.663513,5870
2000-05-16,1100.138916,1148.817627,1100.138916,1100.138916,861.146667,24487
2000-05-17,1119.610352,1143.949707,1119.610352,1119.610352,876.388123,20797
2000-05-18,1114.742554,1119.610352,1114.742554,1119.610352,876.388123,62553
2000-05-19,1109.874634,1109.874634,1095.270996,1095.270996,857.336182,10168
2000-05-22,1095.270996,1095.270996,1095.270996,1095.270996,857.336182,1776
2000-05-23,1090.403076,1100.138916,1080.667358,1080.667358,845.905090,30889
2000-05-24,1090.403076,1090.403076,1070.931641,1070.931641,838.284302,11555
2000-05-25,1070.931641,1090.403076,1070.931641,1070.931641,838.284302,28041
2000-05-26,1070.931641,1070.931641,1022.252930,1066.063843,834.474060,12962
2000-05-29,1022.252930,1031.988647,1022.252930,1022.252930,800.180542,5683
2000-05-30,1046.592285,1061.195923,1046.592285,1046.592285,819.232361,29479
2000-05-31,1061.195923,1061.195923,1051.460205,1051.460205,823.042908,13035
2000-06-01,1070.931641,1075.799561,1070.931641,1070.931641,838.284302,406789
2000-06-02,1075.799561,1090.403076,1046.592285,1046.592285,819.232361,512605
2000-06-05,1090.403076,1095.270996,1070.931641,1070.931641,838.284302,67380
2000-06-06,1095.270996,1119.610352,1090.403076,1090.403076,853.525818,43273
2000-06-07,1143.949707,1143.949707,1143.949707,1143.949707,895.439880,11812
2000-06-08,1143.949707,1158.553345,1143.949707,1143.949707,895.439880,138908
2000-06-09,1158.553345,1246.175049,1153.685547,1153.685547,903.060974,114781
2000-06-12,1246.175049,1246.175049,1221.835693,1221.835693,956.406189,174747
2000-06-13,1226.703491,1226.703491,1202.364258,1202.364258,941.164734,39699
